"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Chain Lake","Chain Lake","WA","Washington","53061","Snohomish","53061","Snohomish","47.9038","-121.9861","4280","156","polygon","FALSE","TRUE","America/Los_Angeles","3","98290","1840041915"
"Rosburg","Rosburg","WA","Washington","53069","Wahkiakum","53069","Wahkiakum","46.3076","-123.6344","385","6","polygon","FALSE","FALSE","America/Los_Angeles","3","98643","1840023878"
"Creston","Creston","WA","Washington","53043","Lincoln","53043","Lincoln","47.7595","-118.5200","226","212","polygon","FALSE","TRUE","America/Los_Angeles","3","99117","1840021109"
"Fife","Fife","WA","Washington","53053","Pierce","53053","Pierce","47.2328","-122.3518","10154","684","polygon","FALSE","TRUE","America/Los_Angeles","3","98424","1840019853"
"Cashmere","Cashmere","WA","Washington","53007","Chelan","53007","Chelan","47.5175","-120.4671","4864.0","1061","polygon","FALSE","TRUE","America/Los_Angeles","3","98815","1840018368"
"Elma","Elma","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0055","-123.4112","3092","468","polygon","FALSE","TRUE","America/Los_Angeles","3","98541","1840019844"
"Vashon","Vashon","WA","Washington","53033","King","53033","King","47.4122","-122.4726","9635","100","polygon","FALSE","FALSE","America/Los_Angeles","3","98070 98013","1840018414"
"Alderton","Alderton","WA","Washington","53053","Pierce","53053","Pierce","47.1718","-122.2192","3303","240","polygon","FALSE","FALSE","America/Los_Angeles","3","98390 98372 98374","1840037523"
"Inchelium","Inchelium","WA","Washington","53019","Ferry","53019","Ferry","48.3378","-118.2372","413","6","polygon","FALSE","FALSE","America/Los_Angeles","3","99138","1840017307"
"Lake Stickney","Lake Stickney","WA","Washington","53061","Snohomish","53061","Snohomish","47.8709","-122.2596","9667","2441","polygon","FALSE","FALSE","America/Los_Angeles","2","98087 98204","1840037894"
"Stanwood","Stanwood","WA","Washington","53061","Snohomish","53061","Snohomish","48.2451","-122.3426","7161.0","937","polygon","FALSE","TRUE","America/Los_Angeles","3","98292","1840021079"
"Lakeland North","Lakeland North","WA","Washington","53033","King","53033","King","47.3374","-122.2814","12487","1452","polygon","FALSE","TRUE","America/Los_Angeles","3","98001","1840074254"
"Wenatchee","Wenatchee","WA","Washington","53007","Chelan","53007","Chelan","47.4338","-120.3286","71512.0","1314","polygon","FALSE","TRUE","America/Los_Angeles","3","98801","1840021074"
"Fords Prairie","Fords Prairie","WA","Washington","53041","Lewis","53041","Lewis","46.7461","-123.0029","1812","188","polygon","FALSE","FALSE","America/Los_Angeles","3","98531","1840017377"
"Minnehaha","Minnehaha","WA","Washington","53011","Clark","53011","Clark","45.6577","-122.6204","11767","2056","polygon","FALSE","FALSE","America/Los_Angeles","2","98661","1840018518"
"Mansfield","Mansfield","WA","Washington","53017","Douglas","53017","Douglas","47.8119","-119.6380","339","401","polygon","FALSE","TRUE","America/Los_Angeles","3","98830","1840022286"
"Winlock","Winlock","WA","Washington","53041","Lewis","53041","Lewis","46.4907","-122.9342","1354","405","polygon","FALSE","TRUE","America/Los_Angeles","3","98596","1840021164"
"Kent","Kent","WA","Washington","53033","King","53033","King","47.3887","-122.2128","128458","1470","polygon","FALSE","TRUE","America/Los_Angeles","2","98031 98030 98032 98042 98035 98064 98089","1840018424"
"Mount Vista","Mount Vista","WA","Washington","53011","Clark","53011","Clark","45.7373","-122.6315","8525","628","polygon","FALSE","FALSE","America/Los_Angeles","3","98642 98686","1840037858"
"Santiago","Santiago","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.2975","-124.2327","26","6","polygon","FALSE","TRUE","America/Los_Angeles","3","98587","1840042040"
"Prairie Ridge","Prairie Ridge","WA","Washington","53053","Pierce","53053","Pierce","47.1443","-122.1408","12733","1202","polygon","FALSE","FALSE","America/Los_Angeles","3","98360 98391","1840037882"
"Lake McMurray","Lake McMurray","WA","Washington","53057","Skagit","53057","Skagit","48.3129","-122.2317","134","63","polygon","FALSE","FALSE","America/Los_Angeles","3","98274","1840037893"
"Lewisville","Lewisville","WA","Washington","53011","Clark","53011","Clark","45.8127","-122.5144","1503","107","polygon","FALSE","FALSE","America/Los_Angeles","3","98604","1840037855"
"Pacific","Pacific","WA","Washington","53033","King","53033|53053","King|Pierce","47.2611","-122.2507","7184","1149","polygon","FALSE","TRUE","America/Los_Angeles","3","98001 98047","1840019834"
"Tonasket","Tonasket","WA","Washington","53047","Okanogan","53047","Okanogan","48.7077","-119.4412","1126","459","polygon","FALSE","TRUE","America/Los_Angeles","3","98855","1840021057"
"Thorp","Thorp","WA","Washington","53037","Kittitas","53037","Kittitas","47.0656","-120.6709","297","93","polygon","FALSE","FALSE","America/Los_Angeles","3","98946","1840018439"
"Raft Island","Raft Island","WA","Washington","53053","Pierce","53053","Pierce","47.3293","-122.6686","341","475","polygon","FALSE","TRUE","America/Los_Angeles","3","98335","1840042039"
"Herron Island","Herron Island","WA","Washington","53053","Pierce","53053","Pierce","47.2645","-122.8348","69","55","polygon","FALSE","TRUE","America/Los_Angeles","3","98349","1840041931"
"Coulee Dam","Coulee Dam","WA","Washington","53047","Okanogan","53047|53025|53017","Okanogan|Grant|Douglas","47.9688","-118.9761","1079","576","polygon","FALSE","TRUE","America/Los_Angeles","3","99116","1840022270"
"Lacey","Lacey","WA","Washington","53067","Thurston","53067","Thurston","47.0458","-122.7934","49748","1132","polygon","FALSE","TRUE","America/Los_Angeles","3","98503 98516 98509","1840019866"
"Federal Way","Federal Way","WA","Washington","53033","King","53033","King","47.3090","-122.3359","96690","1679","polygon","FALSE","TRUE","America/Los_Angeles","3","98023 98003 98063 98093","1840019826"
"McChord AFB","McChord AFB","WA","Washington","53053","Pierce","53053","Pierce","47.1328","-122.4924","3337","216","polygon","TRUE","TRUE","America/Los_Angeles","3","98439 98438","1840073929"
"Algona","Algona","WA","Washington","53033","King","53033","King","47.2822","-122.2504","3185","933","polygon","FALSE","TRUE","America/Los_Angeles","3","98001 98047","1840018415"
"Deming","Deming","WA","Washington","53073","Whatcom","53073","Whatcom","48.8381","-122.2313","240","17","polygon","FALSE","FALSE","America/Los_Angeles","3","98247 98244","1840018345"
"Wilson Creek","Wilson Creek","WA","Washington","53025","Grant","53025","Grant","47.4230","-119.1176","212","85","polygon","FALSE","TRUE","America/Los_Angeles","3","98860","1840022294"
"Tacoma","Tacoma","WA","Washington","53053","Pierce","53053","Pierce","47.2431","-122.4531","213418","1657","polygon","FALSE","TRUE","America/Los_Angeles","2","98422 98421 98402 98403 98404 98405 98408 98409 98406 98407 98465 98416 98418 98444 98401 98411 98412 98413 98415 98417 98419 98471 98481 98490","1840021129"
"Ruston","Ruston","WA","Washington","53053","Pierce","53053","Pierce","47.2982","-122.5100","828","1202","polygon","FALSE","TRUE","America/Los_Angeles","3","98407","1840021132"
"Enumclaw","Enumclaw","WA","Washington","53033","King","53033","King","47.2017","-121.9897","11784","878","polygon","FALSE","TRUE","America/Los_Angeles","3","98022","1840019825"
"Five Corners","Five Corners","WA","Washington","53011","Clark","53011","Clark","45.6883","-122.5738","18405","1221","polygon","FALSE","FALSE","America/Los_Angeles","3","98662","1840037869"
"Summit","Summit","WA","Washington","53053","Pierce","53053","Pierce","47.1694","-122.3628","7876","597","polygon","FALSE","FALSE","America/Los_Angeles","3","98371 98373 98446","1840018456"
"Kettle Falls","Kettle Falls","WA","Washington","53065","Stevens","53065","Stevens","48.6055","-118.0620","1611","585","polygon","FALSE","TRUE","America/Los_Angeles","3","99141","1840019764"
"Harrington","Harrington","WA","Washington","53043","Lincoln","53043","Lincoln","47.4802","-118.2552","411","404","polygon","FALSE","TRUE","America/Los_Angeles","3","99134","1840019819"
"Allyn","Allyn","WA","Washington","53045","Mason","53045","Mason","47.3863","-122.8386","2650","640","polygon","FALSE","FALSE","America/Los_Angeles","3","98524","1840025251"
"Amanda Park","Amanda Park","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.4532","-123.9194","119","5","polygon","FALSE","FALSE","America/Los_Angeles","3","98526","1840023816"
"Dixie","Dixie","WA","Washington","53071","Walla Walla","53071","Walla Walla","46.1392","-118.1480","256","182","polygon","FALSE","FALSE","America/Los_Angeles","3","99329 99361","1840018487"
"Startup","Startup","WA","Washington","53061","Snohomish","53061","Snohomish","47.8671","-121.7495","683","64","polygon","FALSE","FALSE","America/Los_Angeles","3","98294 98293","1840018380"
"Mountlake Terrace","Mountlake Terrace","WA","Washington","53061","Snohomish","53061","Snohomish","47.7921","-122.3076","21337","2021","polygon","FALSE","TRUE","America/Los_Angeles","2","98043","1840019792"
"Naselle","Naselle","WA","Washington","53049","Pacific","53049","Pacific","46.3650","-123.8013","376","63","polygon","FALSE","FALSE","America/Los_Angeles","3","98638","1840018467"
"Grays River","Grays River","WA","Washington","53069","Wahkiakum","53069","Wahkiakum","46.3608","-123.5890","425","8","polygon","FALSE","FALSE","America/Los_Angeles","3","98621","1840023877"
"Bay Center","Bay Center","WA","Washington","53049","Pacific","53049","Pacific","46.6211","-123.9533","215","88","polygon","FALSE","FALSE","America/Los_Angeles","3","98527","1840017375"
"Warm Beach","Warm Beach","WA","Washington","53061","Snohomish","53061","Snohomish","48.1649","-122.3442","2495","236","polygon","FALSE","FALSE","America/Los_Angeles","3","98292","1840018377"
"Twisp","Twisp","WA","Washington","53047","Okanogan","53047","Okanogan","48.3618","-120.1169","956","314","polygon","FALSE","TRUE","America/Los_Angeles","3","98856","1840022271"
"Farmington","Farmington","DE","Delaware","10001","Kent","10001","Kent","38.8699","-75.5790","115","610","polygon","FALSE","TRUE","America/New_York","3","19950","1840005805"
"Seaford","Seaford","DE","Delaware","10005","Sussex","10005","Sussex","38.6539","-75.6117","7750","571","polygon","FALSE","TRUE","America/New_York","3","19973","1840006071"
"Houston","Houston","DE","Delaware","10001","Kent","10001","Kent","38.9174","-75.5039","401","404","polygon","FALSE","TRUE","America/New_York","3","19954","1840005809"
"Slaughter Beach","Slaughter Beach","DE","Delaware","10005","Sussex","10005","Sussex","38.9143","-75.3085","234","66","polygon","FALSE","TRUE","America/New_York","3","19963","1840006084"
"Frankford","Frankford","DE","Delaware","10005","Sussex","10005","Sussex","38.5215","-75.2342","958","507","polygon","FALSE","TRUE","America/New_York","3","19945","1840006064"
"Laurel","Laurel","DE","Delaware","10005","Sussex","10005","Sussex","38.5696","-75.5688","4320","581","polygon","FALSE","TRUE","America/New_York","3","19956","1840006078"
"Riverview","Riverview","DE","Delaware","10001","Kent","10001","Kent","39.0293","-75.5202","2728","291","polygon","FALSE","FALSE","America/New_York","3","19946 19943","1840028613"
"Black River Falls","Black River Falls","WI","Wisconsin","55053","Jackson","55053","Jackson","44.2981","-90.8419","5490.0","328","polygon","FALSE","TRUE","America/Chicago","3","54615","1840002397"
"Whitehall","Whitehall","WI","Wisconsin","55121","Trempealeau","55121","Trempealeau","44.3705","-91.3476","1583","106","polygon","FALSE","TRUE","America/Chicago","3","54773 54747","1840002386"
"Greendale","Greendale","WI","Wisconsin","55079","Milwaukee","55079","Milwaukee","42.9370","-88.0018","14159","982","polygon","FALSE","TRUE","America/Chicago","3","53129","1840003038"
"Oconto","Oconto","WI","Wisconsin","55083","Oconto","55083","Oconto","44.8918","-87.8692","4196.0","252","polygon","FALSE","TRUE","America/Chicago","3","54153","1840001575"
"Ashippun","Ashippun","WI","Wisconsin","55027","Dodge","55027","Dodge","43.2182","-88.5159","1030","386","polygon","FALSE","FALSE","America/Chicago","3","53066 53036 53003","1840025434"
"Van Dyne","Van Dyne","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.8862","-88.5012","190","93","polygon","FALSE","FALSE","America/Chicago","3","54979","1840025421"
"Eastman","Eastman","WI","Wisconsin","55023","Crawford","55023","Crawford","43.1622","-91.0254","407","43","polygon","FALSE","TRUE","America/Chicago","3","54626","1840002887"
"Kohler","Kohler","WI","Wisconsin","55117","Sheboygan","55117","Sheboygan","43.7364","-87.7795","2081","150","polygon","FALSE","TRUE","America/Chicago","3","53081 53044","1840002620"
